dataId,No,formula,symbolSet,spaceGroup,spaceGroupNo,crystalSys,a,b,c,alpha,beta,gamma
2002403,38,Cu8 W4 O16,Cu O W,P1,1,6,7.9018,8.2008,5.8718,96.506,94.033,110.27
1005027,39,Sr6 Ge4 N4,Ge N Sr,P2_1/m,11,5,9.032,3.883,9.648,90,112.42,90
9005936,40,Mn4 S4,Mn S,Fm-3m,225,0,5.078,5.078,5.078,90,90,90
2002359,41,Nb8 Ni16 O36,Nb Ni O,Pbcn,60,2,5.0545,8.7688,14.3041,90,90,90
2104406,42,Bi12 Mo4,Bi Mo,P2_1/m,11,5,14.53,5.648,8.662,90,97.979,90
4002711,43,Eu4 In4 Ag20,Ag Eu In,Pnma,62,2,9.12,5.6453,11.437,90,90,90
4001741,44,Gd18 B18 O54,B Gd O,R32,155,4,6.6357,6.6357,26.706,90,90,120
4327895,45,Li4 Nd4 Ge8,Ge Li Nd,Pnma,62,2,7.773,3.9361,10.644,90,90,90
1510582,46,Sm8 Au48,Au Sm,P4_2/ncm,138,1,10.39,10.39,9.79,90,90,90
1539092,47,Bi2 Br2 O2,Bi Br O,P4/nmm,129,1,3.923,3.923,8.092,90,90,90
9007973,48,Na6 Y2 Cl12,Cl Na Y,P2_1/c,14,5,6.8558,7.255,10.1444,90,90.869,90
1533452,49,Y4 P12 O36,O P Y,P2_1/m,11,5,6.997,9.693,10.989,90,91.84,90
9010920,50,Bi8 Pb4 S16,Bi Pb S,Pnma,62,2,11.5609,14.2968,4.01,90,90,90
4031566,51,Rh16 C40 O38,C O Rh,P-1,2,6,9.18,17.76,10.46,75.95,69.06,92.36
2014743,52,Hg2 H20 C24,C H Hg,P2_1/c,14,5,5.6222,8.0912,10.5852,90,95.485,90
1527099,53,Cs2 Ni2 F6,Cs F Ni,P6_3/mmc,194,4,6.236,6.236,5.225,90,90,120
1524971,54,Nd0.6 Tm0.4 Co5,Co Nd Tm,P6/mmm,191,4,4.973,4.973,3.983,90,90,120
1528700,55,Sr4 Ca4 Pb4,Ca Pb Sr,Pnma,62,2,8.509,5.189,9.74,90,90,90
2101049,56,W6 O16,O W,C222,21,2,6.386,10.43,3.798,90,90,90
1522830,57,Nb0.02 Re1.98,Nb Re,P6_3/mmc,194,4,2.7553,2.7553,4.4465,90,90,120
1548811,58,Ni1 H2 O2,H Ni O,P-3m1,164,4,3.1268,3.1268,4.606,90,90,120
9003682,59,Mn20 Si20 O60,Mn O Si,P-1,2,6,9.7834,10.5023,12.2338,108.682,103.273,82.213
1526736,60,Ho8 Ge16 Pt8,Ge Ho Pt,Immm,71,2,4.321,16.344,8.731,90,90,90
5910106,61,Te8 Ru4,Ru Te,Pa-3,205,0,6.36,6.36,6.36,90,90,90
9008793,62,Tl1 Br1,Br Tl,Pm-3m,221,0,3.97,3.97,3.97,90,90,90
4314516,63,Er8 Ga24 Fe1.336,Er Fe Ga,Im-3m,229,0,8.476,8.476,8.476,90,90,90
1538438,64,Hf2 Ge2 Se2,Ge Hf Se,P4/nmm,129,1,3.69,3.69,8.2,90,90,90
7101735,65,Na5.702 Ge24.617,Ge Na,P6/m,175,4,15.05399,15.05399,3.96845,90,90,120
8100914,66,Ca4 Pb2 Au4,Au Ca Pb,P4/mbm,127,1,8.038,8.038,3.8254,90,90,90
2106097,67,Gd4.2 Y1.8 Ni6,Gd Ni Y,P2_1/m,11,5,10.76,4.194,5.508,90,96.98,90
1535257,68,Nb4 Cl12 O4,Cl Nb O,P-42_1m,113,1,10.8959,10.8959,3.9479,90,90,90
2206495,69,Ti4 Al8 O20,Al O Ti,Cmcm,63,2,3.605,9.445,9.653,90,90,90
7221255,70,Li2 Be2 Sb2,Be Li Sb,P6_3mc,186,4,4.154,4.154,6.739,90,90,120
8103999,71,Ga4 I12,Ga I,P2_1/c,14,5,9.584,6.084,11.839,90,107.78,90
9003875,72,Mg3 H6 O6,H Mg O,P-3,147,4,5.5407,5.5407,4.8435,90,90,120
2310103,73,Cs4 B36 O56,B Cs O,P4_122,91,1,8.768,8.768,15.79,90,90,90
9015178,74,Mg4 S8 O36,Mg O S,Pnma,62,2,9.32,14.36,6.87,90,90,90
4031685,75,U12 Te8 Se8,Se Te U,I-43d,220,0,9.15,9.15,9.15,90,90,90
7228735,76,In120.0016 Cu19.9984 S212,Cu In S,Cc,9,5,33.4954,19.3412,35.425,90,115.1467,90
2002257,77,Ca4 Cu2 O6,Ca Cu O,Immm,71,2,12.239,3.779,3.259,90,90,90
1537327,78,Ce4 S8 O40,Ce O S,P2_1/c,14,5,9.359,9.926,8.444,90,96.53,90
1539860,79,U12 Te16,Te U,I-43d,220,0,9.416,9.416,9.416,90,90,90
4116354,80,Cs8 Na16 Si136,Cs Na Si,Fd-3m,227,0,14.738,14.738,14.738,90,90,90
4343142,81,Ce3.2 Sm0.8 O7.52,Ce O Sm,Fm-3m,225,0,5.43346,5.43346,5.43346,90,90,90
1010188,82,K4 Te2 Cl12,Cl K Te,I4/mmm,139,1,7.17,7.17,10.14,90,90,90
1537135,83,Rb3 Sb2 Br9,Br Rb Sb,P-3m1,164,4,7.939,7.939,9.718,90,90,120
1523131,84,Li352 Pb80,Li Pb,F-43m,216,0,20.08,20.08,20.08,90,90,90
1510311,85,Th8 Au4,Au Th,I4/mcm,140,1,7.462,7.462,5.989,90,90,90
7220560,86,Mo4 Pb8 O20,Mo O Pb,C2/m,12,5,14.2221,5.7852,7.3262,90,114.168,90
4343328,87,Al1 Cr3 B4,Al B Cr,Pmmm,47,2,2.9556,2.9778,8.0539,90,90,90
1525174,88,Yb2 Cd2 In2,Cd In Yb,P6_3/mmc,194,4,4.948,4.948,7.302,90,90,120
9006611,89,Fe1.82 Si0.18,Fe Si,Im-3m,229,0,2.819,2.819,2.819,90,90,90
1536333,90,Cd8 Te8 O28,Cd O Te,P-1,2,6,7.4328,8.3346,9.9898,87.005,78.843,77.21
2310230,91,Sm1 Pt3,Pt Sm,Pm-3m,221,0,4.0633,4.0633,4.0633,90,90,90
9014963,92,Ni4 P8 O40,Ni O P,F-43m,216,0,10.3,10.3,10.3,90,90,90
1509908,93,Ba1 Ag5,Ag Ba,P6/mmm,191,4,5.803,5.803,4.612,90,90,120
1539912,94,Ta1 W1,Ta W,Im-3m,229,0,3.216,3.216,3.216,90,90,90
4343817,95,Zn4 Cl8,Cl Zn,Pna2_1,33,2,6.443,7.693,6.125,90,90,90
1511345,96,Ti3.2 B1.6 N2.4,B N Ti,Fm-3m,225,0,4.23,4.23,4.23,90,90,90
1560961,97,Nd4 P20 O56,Nd O P,P2_1/c,14,5,8.75,8.98,13.026,90,90.495,90
1524694,98,Dy1 Hg2,Dy Hg,P6/mmm,191,4,4.817,4.817,3.474,90,90,120
9003114,99,K4 Cl4,Cl K,Fm-3m,225,0,6.3122,6.3122,6.3122,90,90,90
2106473,100,Ba16 Fe16 F80,Ba F Fe,I4,79,1,14.919,14.919,7.609,90,90,90
1537400,101,Zn3 Pd3 F18,F Pd Zn,R-3,148,4,4.95,4.95,13.69,90,90,120
9007864,102,U4 C84 O4,C O U,P2_12_12_1,19,2,8.331,8.899,23.337,90,90,90
1529770,103,D4.14 Tb6 Br6,Br D Tb,R-3m,166,4,3.82369,3.82369,28.9325,90,90,120
9003240,104,K1.6 Na2.4 Cl4,Cl K Na,Fm-3m,225,0,5.8823,5.8823,5.8823,90,90,90
2214074,105,Sr24 Te24 O72,O Sr Te,C2,5,5,28.262,5.935,15.434,90,122.21,90
4001867,106,Er1 Ga3,Er Ga,Pm-3m,221,0,4.2149,4.2149,4.2149,90,90,90
1537263,107,Rb12 As44,As Rb,Pbcn,60,2,10.628,15.381,11.134,90,90,90
9006756,108,Mg4 O4,Mg O,Fm-3m,225,0,4.261,4.261,4.261,90,90,90
1008317,109,Sm6 S6 I6,I S Sm,R-3m,166,4,4.547,4.547,32.63,90,90,120
9006711,110,Ca4 O4,Ca O,Fm-3m,225,0,4.937,4.937,4.937,90,90,90
2218123,111,Hf4 Ge4 Te16,Ge Hf Te,Cmc2_1,36,2,3.97951,15.953,10.9731,90,90,90
1539397,112,Y1 In1,In Y,Pm-3m,221,0,3.81,3.81,3.81,90,90,90
4349767,113,Ce8 Ge12.368 Pt3.632,Ce Ge Pt,Pmma,51,2,8.5157,14.75,4.2511,90,90,90
1523115,114,Sc1 Ga3,Ga Sc,Pm-3m,221,0,4.095,4.095,4.095,90,90,90
2201249,115,Ti4 Cl16,Cl Ti,P2_1/c,14,5,9.67,6.4737,9.682,90,102.168,90
1531540,116,Eu4 Mn8 O20,Eu Mn O,Pbam,55,2,7.3917,8.5645,5.6901,90,90,90
1536573,117,Fe7 P6 O24,Fe O P,P-1,2,6,6.4724,7.9651,9.4229,104.447,108.919,101.741
1531826,118,Dy1 Ti0.3 Si1.7,Dy Si Ti,P6/mmm,191,4,3.824,3.824,4.119,90,90,120
1537841,119,Nb2 Ir2,Ir Nb,P4/mmm,123,1,4.027,4.027,3.859,90,90,90
1526563,120,Na2 Li4 N2,Li N Na,Cmmm,65,2,3.698,6.365,4.6,90,90,90
1538001,121,Ta1 Ir3,Ir Ta,Pm-3m,221,0,3.886,3.886,3.886,90,90,90
1510492,122,Cu1 Au3,Au Cu,Pm-3m,221,0,3.98,3.98,3.98,90,90,90
4105294,123,In4 Cu4 Se8,Cu In Se,I-42d,122,1,5.7852,5.7852,11.5964,90,90,90
1523649,124,Ga1 Ni2.01 Pt0.99,Ga Ni Pt,Pm-3m,221,0,3.715,3.715,3.715,90,90,90
9011181,125,Al6 B6 O18,Al B O,R-3c,167,4,4.4638,4.4638,13.745,90,90,120
7222699,126,Na9.848 Eu14.152 Cl44,Cl Eu Na,Pmmn,59,2,25.259,8.4691,7.8172,90,90,90
7222779,127,Sm3 Mg3 Pt3,Mg Pt Sm,P-62m,189,4,7.439,7.439,4.098,90,90,120
1564724,128,Mn5.37 Al20 Ni1.314,Al Mn Ni,P6_3/mmc,194,4,7.6009,7.6009,7.8187,90,90,120
4338923,129,Re18 S24 O54,O Re S,R-3m,166,4,14.9959,14.9959,10.9403,90,90,120
8103764,130,Bi16 Br8 O20,Bi Br O,P2_1,4,5,14.539,5.605,10.782,90,97.75,90
9007426,131,Cu8 Cl4 O12,Cl Cu O,Pnma,62,2,6.01,9.13,6.84,90,90,90
1531560,132,Rb4 Hf4 F20,F Hf Rb,P2_1/c,14,5,7.766,7.8963,7.898,90,120.52,90
4000654,133,Yb4 In2 Ge4,Ge In Yb,P4/mbm,127,1,7.1985,7.1985,4.3026,90,90,90
4517854,134,Mn1 Sn1 I3,I Mn Sn,Pm-3m,221,0,6.3074,6.3074,6.3074,90,90,90
4343664,135,Bi48 Cl56,Bi Cl,Pnnm,58,2,23.057,15.04,8.761,90,90,90
4312427,136,Sm2 Ga4 Pd4,Ga Pd Sm,I4/mmm,139,1,4.217,4.217,10.414,90,90,90
9008853,137,In4 Sb4,In Sb,F-43m,216,0,6.4782,6.4782,6.4782,90,90,90
7217215,138,Y6 Mn6 O18,Mn O Y,P6_3cm,185,4,6.1545,6.1545,11.4533,90,90,120
1532428,139,Ho0.528 Fe3 Ge2.96,Fe Ge Ho,P6/mmm,191,4,5.102,5.102,4.05,90,90,120
1530470,140,U4 I12,I U,Cmcm,63,2,4.334,14.024,10.013,90,90,90
4124450,141,K8 H20 F28,F H K,P2_1/c,14,5,8.315,8.384,10.031,90,101.63,90
1522811,142,Pu8 Mn16,Mn Pu,Fd-3m,227,0,7.29,7.29,7.29,90,90,90
1531962,143,Li4 Mo4 S8,Li Mo S,P-1,2,6,6.963,6.386,6.25,88.6,89.07,120.06
1523522,144,Mn1 Ni1,Mn Ni,P4/mmm,123,1,2.61,2.61,3.49,90,90,90
9010401,145,Mg8 Si8 O24,Mg O Si,P2_1/m,11,5,9.477,6.205,4.256,90,98.75,90
1528314,146,Ti4 I12,I Ti,Pmmn,59,2,12.2728,7.0857,6.4817,90,90,90
8103860,147,K12 Hg3 As6,As Hg K,R-3m,166,4,5.763,5.763,27.696,90,90,120
9015563,148,P8 Pt4,P Pt,Pa-3,205,0,5.6956,5.6956,5.6956,90,90,90
1535196,149,K24 Ta16 S88,K S Ta,C2/c,15,5,35.563,7.8362,12.139,90,100.56,90
1539993,150,Fe4 Ge4 O24,Fe Ge O,P4_2/nnm,134,1,7.55,7.55,7.47,90,90,90
2238816,151,V4 Cd4 O14,Cd O V,P-1,2,6,6.5974,6.8994,6.9961,83.325,63.898,80.145
1509564,152,Y1 Ag1,Ag Y,Pm-3m,221,0,3.61,3.61,3.61,90,90,90
1538532,153,Na3 Ti3 S6,Na S Ti,R-3m,166,4,3.469,3.469,20.58,90,90,120
9016192,154,Zn4 Br8 N8,Br N Zn,Imma,74,2,8.12,8.81,8.41,90,90,90
9009611,155,Hg8 Sb2 O12,Hg O Sb,Cm,8,5,4.871,15.098,5.433,90,98.86,90
9003990,156,Al8 Si4 O20,Al O Si,Pnnm,58,2,7.793,7.89734,5.55583,90,90,90
4124776,157,Ba8 Fe8 O21,Ba Fe O,Pm-3m,221,0,8.05,8.05,8.05,90,90,90
1536989,158,Yb1 In5 Rh1,In Rh Yb,P4/mmm,123,1,4.5952,4.5952,7.442,90,90,90
4344616,159,Eu2 Ga6 Cu2,Cu Eu Ga,I4mm,107,1,4.2589,4.2589,10.6898,90,90,90
1523259,160,Ce1 Al3 Pt2,Al Ce Pt,P6/mmm,191,4,5.368,5.368,4.406,90,90,120
1509891,161,Zr12 Ag16.0856 S32,Ag S Zr,P4_332,212,0,10.9427,10.9427,10.9427,90,90,90
4332944,162,Ho1.164 Fe4 Si9.86,Fe Ho Si,P6_3/mmc,194,4,3.9371,3.9371,15.292,90,90,120
2311054,163,Tm1 Tl3,Tl Tm,Pm-3m,221,0,4.6554,4.6554,4.6554,90,90,90
1509747,164,Ag2.8 Hg1.2,Ag Hg,Fm-3m,225,0,4.167,4.167,4.167,90,90,90
1536328,165,Ti9.452 Sb6 Pt1.302,Pt Sb Ti,P6_3/mcm,193,4,8.088,8.088,5.557,90,90,120
1535653,166,In8 C24,C In,Pm-3m,221,0,14.34,14.34,14.34,90,90,90
9015323,167,Tb2.025 Bi6.975 O13.5,Bi O Tb,R-3m,166,4,3.9653,3.9653,27.31699,90,90,120
1524257,168,La0.5 Ce0.5 Sn3,Ce La Sn,Pm-3m,221,0,4.746,4.746,4.746,90,90,90
1534392,169,Na20 Nb4 O20,Na Nb O,C2/c,15,5,6.24,10.2,10.16,90,109.3,90
9011007,170,K2,K,Im-3m,229,0,5.247,5.247,5.247,90,90,90
2106610,171,Sc4 Se12 O36,O Sc Se,Cc,9,5,11.13,9.506,7.598,90,97.59,90
1566208,172,Ag3 Pd33.515 Se30,Ag Pd Se,Pm-3m,221,0,10.6773,10.6773,10.6773,90,90,90
2310476,173,Cr2 Cl4,Cl Cr,Pnnm,58,2,6.621,5.957,3.48,90,90,90
1523514,174,Ti1 Re0.5 Os0.5,Os Re Ti,Pm-3m,221,0,3.092,3.092,3.092,90,90,90
4316496,175,Cs2 Np4 Se12,Cs Np Se,Immm,71,2,4.0107,5.5187,24.06,90,90,90
1533058,176,Nd8 Si20 Os12,Nd Os Si,P4/mnc,128,1,10.762,10.762,5.796,90,90,90
1511416,177,Ho10 Si3.884 B16,B Ho Si,P4/mbm,127,1,7.183,7.183,7.99,90,90,90
8103891,178,Yb4 Al32 Co8,Al Co Yb,Pbam,55,2,12.383,14.4,3.9608,90,90,90
4323888,179,Zr18 Ni4 P8,Ni P Zr,P4/mbm,127,1,12.0862,12.0862,3.6435,90,90,90
9011658,180,Ga2 N2,Ga N,P6_3mc,186,4,3.19,3.19,5.189,90,90,120
1535979,181,Yb12 Ge4 O4,Ge O Yb,Pnma,62,2,6.7203,6.7083,9.5128,90,90,90
1534173,182,Nd16 C24,C Nd,I-43d,220,0,8.534,8.534,8.534,90,90,90
4031521,183,Ag28 N4 O44.0072,Ag N O,Fm-3m,225,0,9.8893,9.8893,9.8893,90,90,90
9016191,184,Be16 B8 O32,B Be O,Pbca,61,2,9.75,12.204,4.429,90,90,90
1521017,185,Eu3 Cu12 As6,As Cu Eu,R-3m,166,4,4.183,4.183,23.154,90,90,120
4118669,186,Cr4 N12 O32,Cr N O,P1,1,6,10,10.0176,8.0201,90.013,90.008,90.004
1526587,187,K2 Sn2 N6,K N Sn,P-3,147,4,6.56,6.56,7.413,90,90,120
4024431,188,Zr4 H192 C176,C H Zr,P2_1/c,14,5,10.5012,17.8328,17.776,90,94.963,90
1510799,189,Sr8 B8 O20,B O Sr,P2_1/c,14,5,11.85,5.35,7.71,90,92.6,90
1528920,190,La6 Co8 Sn26,Co La Sn,Pm-3n,223,0,9.643,9.643,9.643,90,90,90
1525485,191,Er1 Ga2,Er Ga,P6/mmm,191,4,4.18,4.18,4.016,90,90,120
1540276,192,Zr2 Si2 Te2,Si Te Zr,P4/nmm,129,1,3.692,3.692,8.499,90,90,90
9014517,193,Cs20 Co20 F80,Co Cs F,I-4c2,120,1,12.4353,12.4353,12.8612,90,90,90
2002308,194,Ti8.0 Co4.0 O20,Co O Ti,Cmcm,63,2,3.732,9.718,10.069,90,90,90
4302643,195,K12 In4 Au20,Au In K,Imma,74,2,5.5615,19.645,8.5024,90,90,90
1525488,196,Dy4 In2,Dy In,P6_3/mmc,194,4,5.343,5.343,6.677,90,90,120
1521781,197,Ca6 Si2 Br4,Br Ca Si,I4/mmm,139,1,4.495,4.495,19.26999,90,90,90
1523724,198,Rh1.616 W0.384,Rh W,P6_3/mmc,194,4,2.708,2.708,4.328,90,90,120
9005317,199,Al8 Ge4 O24,Al Ge O,Pnma,62,2,4.804,9.107,8.551,90,90,90
2104771,200,Ga8 Bi4 O18,Bi Ga O,Pbam,55,2,7.4596,8.058,5.747,90,90,90
2106976,201,Sr2 Be6 O8,Be O Sr,P-62c,190,4,4.5961,4.5961,8.93,90,90,120
1563210,202,La6 Sn14,La Sn,Cmmm,65,2,4.592,26.19,4.681,90,90,90
1524593,203,Eu8 Rh16,Eu Rh,Fd-3m,227,0,7.522,7.522,7.522,90,90,90
4124799,204,Pb12 N72,N Pb,Pna2_1,33,2,6.63,11.31,16.25,90,90,90
4001970,205,Gd18 Eu2 Ge16,Eu Gd Ge,P2_1/c,14,6,7.6327,14.909,7.8481,90,90,92.976
2102072,206,Bi48 Cl20 O62,Bi Cl O,P2/c,13,5,10.033,7.9745,29.552,90,88.742,90
1526725,207,Ho4 Si4 Ir4,Ho Ir Si,Pnma,62,2,6.7703,4.1748,7.4432,90,90,90
1537973,208,Mn4 Sb4 Pt4,Mn Pt Sb,F-43m,216,0,6.21,6.21,6.21,90,90,90
1524019,209,La1 In1.5 Cu0.5,Cu In La,P6/mmm,191,4,4.821,4.821,4.025,90,90,120
1535323,210,Ho4 Al6 Si4,Al Ho Si,C2/m,12,5,10.0851,4.0126,6.5597,90,100.814,90
4344299,211,Cs6 Y4 I18,Cs I Y,P6_3/mmc,194,4,8.406,8.406,21.28,90,90,120
1527178,212,Pr8 Mn8 Ga8,Ga Mn Pr,Fd-3m,227,0,7.937,7.937,7.937,90,90,90
1008665,213,Li4 Cu2 O4,Cu Li O,Immm,71,2,3.65447,2.86022,9.3774,90,90,90
4308611,214,K8 H40 C40,C H K,P-42_1c,114,1,9.82345,9.82345,10.4222,90,90,90
2106236,215,Hg24 Cl16 O16,Cl Hg O,P2_1/c,14,5,10.838,9.317,11.564,90,108.9,90
2103172,216,Nd4 C52 O8,C Nd O,P-1,2,6,14.223,7.813,13.813,90.26,111.26,90
9004000,217,Fe6.72 Ni9.28 P4,Fe Ni P,P2_13,198,0,6.025,6.025,6.025,90,90,90
2104468,218,Sr80 Ga48 O152,Ga O Sr,C2/c,15,5,35.0481,7.9732,16.0077,90,103.492,90
1541566,219,Na2 Bi2 S4,Bi Na S,Fm-3m,225,0,5.77,5.77,5.77,90,90,90
4325765,220,Na24 Cd64 Au28,Au Cd Na,Fm-3m,225,0,13.589,13.589,13.589,90,90,90
1541203,221,Pr4 Nb20 O56,Nb O Pr,Pmmn,59,2,7.758,20.092,6.241,90,90,90
9012052,222,Cr16 Cd8 O32,Cd Cr O,Fd-3m,227,0,8.596,8.596,8.596,90,90,90
4314514,223,Ho8 Ga24 Fe2,Fe Ga Ho,Im-3m,229,0,8.508,8.508,8.508,90,90,90
4344325,224,Y10.668 Se16,Se Y,I-43d,220,0,8.6626,8.6626,8.6626,90,90,90
1510639,225,V0.5 Cr0.5 B2,B Cr V,P6/mmm,191,4,2.99,2.99,3.045,90,90,120
1527720,226,Y1 Zn5,Y Zn,P6/mmm,191,4,5.185,5.185,4.382,90,90,120
7221109,227,Hf8 Zn16,Hf Zn,Fd-3m,227,0,7.32,7.32,7.32,90,90,90
1010920,228,Cu6 S6,Cu S,P6_3/mmc,194,4,3.802,3.802,16.42999,90,90,120
9014426,229,Mn6 N2.58,Mn N,P6_322,182,4,4.8551,4.8551,4.5326,90,90,120
1011319,230,Nb4 N4,N Nb,Fm-3m,225,0,4.41,4.41,4.41,90,90,90
1527740,231,Sr12 Ir12 O36,Ir O Sr,C2/c,15,5,5.604,9.618,14.174,90,93.26,90
4106340,232,Tl12 Se2 I8,I Se Tl,P4/mnc,128,1,9.178,9.178,9.675,90,90,90
9002900,233,Co6 Sb12 O108,Co O Sb,P3,143,4,16.105,16.105,9.851,90,90,120
1546071,234,Al8 Pb12 F48,Al F Pb,P2_1/c,14,5,9.435,9.61,10.1,90,90.59,90
8103545,235,Sr1 U1 O3.598,O Sr U,R-3m,166,3,6.587,6.587,6.587,35.3,35.3,35.3
8103047,236,Pr4 B4 S12,B Pr S,Pna2_1,33,2,7.5434,6.013,8.8859,90,90,90
1518102,237,Na12 Ta24 O66,Na O Ta,R-3c,167,4,6.198,6.198,36.56,90,90,120
2100653,238,Fe6 F18,F Fe,R-3c,167,4,4.9636,4.9636,13.419,90,90,120
1538706,239,Ho1 Hg1,Hg Ho,Pm-3m,221,0,3.646,3.646,3.646,90,90,90
4002627,240,Hf6.48 Fe16 Sn1.52,Fe Hf Sn,Fd-3m,227,0,7.068,7.068,7.068,90,90,90
7702913,241,Nd8 B23.99808 H95.99232,B H Nd,Fm-3c,226,0,11.3903,11.3903,11.3903,90,90,90
2243664,242,Co12 P7,Co P,P-6,174,4,7.97,7.97,3.2034,90,90,120
4001253,243,Ba8 In20 As20,As Ba In,Pnma,62,2,17.4609,4.2905,17.9614,90,90,90
4307823,244,Ce6 Ni18,Ce Ni,P6_3/mmc,194,4,4.96135,4.96135,16.52157,90,90,120
9000822,245,U4 Si4 O28,O Si U,Amm2,38,2,7.106,17.9,7.087,90,90,90
4344491,246,Tm1 Si2,Si Tm,P6/mmm,191,4,3.77,3.77,4.07,90,90,120
9012973,247,Ni4,Ni,Fm-3m,225,0,3.5319,3.5319,3.5319,90,90,90
1511630,248,U8 Ni84 B24,B Ni U,Fm-3m,225,0,10.647,10.647,10.647,90,90,90
9013906,249,Mg2 W2 O8,Mg O W,P2/c,13,5,4.624,5.594,4.88,90,90.56,90
4089436,250,H104 Ir4 C72,C H Ir,P-1,2,6,8.3107,13.092,14.107,80.48,86.95,80.75
4109719,251,Sc6 Co2 C8,C Co Sc,Immm,71,2,3.3935,4.3687,11.9851,90,90,90
1534739,252,Rb12 P12 O36,O P Rb,P2_1/c,14,5,7.35,18.281,9.133,90,97.81,90
1009049,253,Mn6 Rh2 N0.4,Mn N Rh,P6_3/mmc,194,4,5.45,5.45,4.45,90,90,120
